Minute_ID,Hour,Minute,Date
202401020930,9,30,2024-01-02 09:30:00
202401020931,9,31,2024-01-02 09:31:00
202401020932,9,32,2024-01-02 09:32:00
202401020933,9,33,2024-01-02 09:33:00
202401020934,9,34,2024-01-02 09:34:00
202401020935,9,35,2024-01-02 09:35:00
202401020936,9,36,2024-01-02 09:36:00
202401020937,9,37,2024-01-02 09:37:00
202401020938,9,38,2024-01-02 09:38:00
202401020939,9,39,2024-01-02 09:39:00
202401020940,9,40,2024-01-02 09:40:00
202401020941,9,41,2024-01-02 09:41:00
202401020942,9,42,2024-01-02 09:42:00
202401020943,9,43,2024-01-02 09:43:00
202401020944,9,44,2024-01-02 09:44:00
202401020945,9,45,2024-01-02 09:45:00
202401020946,9,46,2024-01-02 09:46:00
202401020947,9,47,2024-01-02 09:47:00
202401020948,9,48,2024-01-02 09:48:00
202401020949,9,49,2024-01-02 09:49:00
202401020950,9,50,2024-01-02 09:50:00
202401020951,9,51,2024-01-02 09:51:00
202401020952,9,52,2024-01-02 09:52:00
202401020953,9,53,2024-01-02 09:53:00
202401020954,9,54,2024-01-02 09:54:00
202401020955,9,55,2024-01-02 09:55:00
202401020956,9,56,2024-01-02 09:56:00
202401020957,9,57,2024-01-02 09:57:00
202401020958,9,58,2024-01-02 09:58:00
202401020959,9,59,2024-01-02 09:59:00
202401021000,10,0,2024-01-02 10:00:00
202401021001,10,1,2024-01-02 10:01:00
202401021002,10,2,2024-01-02 10:02:00
202401021003,10,3,2024-01-02 10:03:00
202401021004,10,4,2024-01-02 10:04:00
202401021005,10,5,2024-01-02 10:05:00
202401021006,10,6,2024-01-02 10:06:00
202401021007,10,7,2024-01-02 10:07:00
202401021008,10,8,2024-01-02 10:08:00
202401021009,10,9,2024-01-02 10:09:00
202401021010,10,10,2024-01-02 10:10:00
202401021011,10,11,2024-01-02 10:11:00
202401021012,10,12,2024-01-02 10:12:00
202401021013,10,13,2024-01-02 10:13:00
202401021014,10,14,2024-01-02 10:14:00
202401021015,10,15,2024-01-02 10:15:00
202401021016,10,16,2024-01-02 10:16:00
202401021017,10,17,2024-01-02 10:17:00
202401021018,10,18,2024-01-02 10:18:00
202401021019,10,19,2024-01-02 10:19:00
202401021020,10,20,2024-01-02 10:20:00
202401021021,10,21,2024-01-02 10:21:00
202401021022,10,22,2024-01-02 10:22:00
202401021023,10,23,2024-01-02 10:23:00
202401021024,10,24,2024-01-02 10:24:00
202401021025,10,25,2024-01-02 10:25:00
202401021026,10,26,2024-01-02 10:26:00
202401021027,10,27,2024-01-02 10:27:00
202401021028,10,28,2024-01-02 10:28:00
202401021029,10,29,2024-01-02 10:29:00
202401021030,10,30,2024-01-02 10:30:00
202401021031,10,31,2024-01-02 10:31:00
202401021032,10,32,2024-01-02 10:32:00
202401021033,10,33,2024-01-02 10:33:00
202401021034,10,34,2024-01-02 10:34:00
202401021035,10,35,2024-01-02 10:35:00
202401021036,10,36,2024-01-02 10:36:00
202401021037,10,37,2024-01-02 10:37:00
202401021038,10,38,2024-01-02 10:38:00
202401021039,10,39,2024-01-02 10:39:00
202401021040,10,40,2024-01-02 10:40:00
202401021041,10,41,2024-01-02 10:41:00
202401021042,10,42,2024-01-02 10:42:00
202401021043,10,43,2024-01-02 10:43:00
202401021044,10,44,2024-01-02 10:44:00
202401021045,10,45,2024-01-02 10:45:00
202401021046,10,46,2024-01-02 10:46:00
202401021047,10,47,2024-01-02 10:47:00
202401021048,10,48,2024-01-02 10:48:00
202401021049,10,49,2024-01-02 10:49:00
202401021050,10,50,2024-01-02 10:50:00
202401021051,10,51,2024-01-02 10:51:00
202401021052,10,52,2024-01-02 10:52:00
202401021053,10,53,2024-01-02 10:53:00
