Stock_ID,Stock_Name,Stock_Industry,Stock_Industry_Prev,Stock_Market,Stock_Code,Total_Value,Total_Value_Prev
430017,星昊医药,化学制药,,CN,bj430017,2015169168.0000002,0
430047,诺思兰德,生物制品,,CN,bj430047,4818258353.860001,0
430090,同辉信息,软件开发,,CN,bj430090,755474139.34,0
430139,华岭股份,半导体,,CN,bj430139,3559112000.0,0
430198,微创光电,计算机设备,,CN,bj430198,869751270.0799999,0
430300,辰光医疗,医疗器械,,CN,bj430300,765756363.92,0
430418,苏轴股份,通用设备,,CN,bj430418,2048529600.0,0
430425,乐创技术,软件开发,,CN,bj430425,646029288.45,0
430476,海能技术,仪器仪表,,CN,bj430476,1222410976.0,0
430478,峆一药业,化学制药,,CN,bj430478,1194284050.0,0
430489,佳先股份,化学制品,,CN,bj430489,814661424.0,0
430510,丰光精密,通用设备,,CN,bj430510,1271076111.48,0
430556,雅达股份,仪器仪表,,CN,bj430556,845291648.0,0
430564,天润科技,软件开发,,CN,bj430564,641495556.24,0
430685,新芝生物,仪器仪表,,CN,bj430685,1080803263.21,0
430718,合肥高科,电子元件,,CN,bj430718,941120346.0000001,0
830779,武汉蓝电,仪器仪表,,CN,bj830779,1658800000.0,0
830799,艾融软件,软件开发,,CN,bj830799,2154181632.0,0
830809,安达科技,电池,,CN,bj830809,3546762761.7999997,0
830832,齐鲁华信,化学原料,,CN,bj830832,709083350.1500001,0
830839,万通液压,通用设备,,CN,bj830839,1106304975.0,0
830879,基康仪器,仪器仪表,,CN,bj830879,1272219717.12,0
830896,旺成科技,通用设备,,CN,bj830896,815867374.4000001,0
830946,森萱医药,化学制药,,CN,bj830946,4333221151.0,0
830964,润农节水,工程建设,,CN,bj830964,992590400.0,0
830974,凯大催化,化学制品,,CN,bj830974,1267812000.0,0
831010,凯添燃气,燃气,,CN,bj831010,1071665000.0000001,0
831039,国义招标,专业服务,,CN,bj831039,913690800.0000001,0
831087,秋乐种业,农牧饲渔,,CN,bj831087,1310036000.0,0
831152,昆工科技,专用设备,,CN,bj831152,2084960640.0,0
831167,鑫汇科,消费电子,,CN,bj831167,622287615.4499999,0
831195,三祥科技,汽车零部件,,CN,bj831195,1154793400.0,0
831278,泰德股份,汽车零部件,,CN,bj831278,684314400.0,0
831304,迪尔化工,化学原料,,CN,bj831304,947761920.0,0
831305,海希通讯,仪器仪表,,CN,bj831305,1627016000.0,0
831370,新安洁,环保行业,,CN,bj831370,964782000.0,0
831445,龙竹科技,装修装饰,,CN,bj831445,1018059480.75,0
831526,凯华材料,化学制品,,CN,bj831526,2055922000.0,0
831627,力王股份,电池,,CN,bj831627,991725000.0,0
831641,格利尔,家电行业,,CN,bj831641,765014250.0,0
831689,克莱特,通用设备,,CN,bj831689,999708000.0,0
831726,朱老六,食品饮料,,CN,bj831726,1069035900.0,0
831768,拾比佰,通用设备,,CN,bj831768,618102900.0,0
831832,科达自控,软件开发,,CN,bj831832,1111286400.0,0
831834,三维股份,塑料制品,,CN,bj831834,840000035.0,0
831855,浙江大农,通用设备,,CN,bj831855,661389997.05,0
831856,浩淼科技,专用设备,,CN,bj831856,554369653.11,0
831906,舜宇精工,汽车零部件,,CN,bj831906,1034322400.0,0
831961,创远信科,通信设备,,CN,bj831961,1842642553.2,0
832000,安徽凤凰,汽车零部件,,CN,bj832000,773779200.0,0
832023,田野股份,食品饮料,,CN,bj832023,1099741440.0,0
832089,禾昌聚合,塑料制品,,CN,bj832089,1758510800.0,0
832110,雷特科技,电子元件,,CN,bj832110,637260000.0,0
832145,恒合股份,环保行业,,CN,bj832145,449403500.0,0
